"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-01","10.1","0","0.85",,"9.3","25.1","30.1","20.0",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-02","8.1","0","1.81",,"24.8","27.2","32.2","22.1",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-03","7.8","0","1.17",,"2.0","41.2","51.8","30.6",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-04","10.3","11","3.81",,"0.0","53.7","65.7","41.6",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-05","8.7","102","3.80",,"0.0","61.6","71.2","51.9",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-06","8.1","249","8.05",,"0.0","69.2","78.4","60.1",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-07","7.2","576","4.67",,"0.0","75.5","85.0","66.0",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-08","7.2","884","1.74",,"0.0","74.9","84.5","65.3",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-09","8.9","937","2.80",,"0.0","62.7","71.6","53.8",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-10","8.7","937","2.60",,"0.0","53.5","64.2","42.9",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-11","9.4","937","2.82",,"0.1","41.8","51.1","32.5",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2010-12","9.6","937","1.78",,"11.5","27.4","31.9","22.8",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-01","8.3","0","1.32",,"21.2","21.4","27.1","15.6",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-02","11.2","0","2.95",,"38.2","25.6","33.0","18.3",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-03","9.4","0","4.02",,"1.2","33.8","41.9","25.6",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-04","11.6","4","7.20",,"1.9","46.6","55.6","37.6",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-05","9.8","60","4.54",,"0.0","60.0","69.6","50.4",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-06","8.5","208","3.33",,"0.0","69.0","78.7","59.4",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-07","6.7","582","6.87",,"0.0","77.1","87.0","67.1",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-08","6.3","792","4.43",,"0.0","71.8","81.3","62.3",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-09","7.8","860","2.24",,"0.0","61.9","71.7","52.1",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-10","8.1","866","3.13","56.3","0.0","52.5","63.1","41.9","11755"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-11","10.3","866","2.50","37.9","0.7","43.7","51.9","35.5","6408"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2011-12","8.9","866","2.59","24.7","4.5","34.9","40.6","29.3","4177"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-01","9.8","0","3.21","31.0","27.0","29.7","37.1","22.3","5404"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-02","8.9","0","2.01","37.0","16.2","31.9","38.4","25.3","6764"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-03","10.5","25","3.14","52.0","2.8","50.7","60.6","40.8","11677"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-04","9.6","26","3.09","63.0","0.0","48.3","59.1","37.5","15195"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-05","8.5","103","2.72","66.6","0.0","63.2","74.6","51.8","18277"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-06","8.7","306","2.17","79.2","0.0","70.8","83.3","58.3","21787"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-07","7.4","747","2.56","79.8","0.0","79.2","91.1","67.4","21328"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-08","6.5","939","3.34","72.1","0.0","70.8","82.0","59.7","18493"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-09","7.4","1010","1.97","73.8","0.0","63.0","74.2","51.7","16521"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-10","9.8","1014","6.31","42.8","0.0","50.9","59.6","42.2","8772"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-11","7.8","1014","0.49","43.2","0.4","40.1","48.6","31.5","7569"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2012-12","8.9","1014","2.85","17.6","7.2","35.1","41.7","28.5","2992"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-01","10.5","0","4.01","24.9","17.0","28.0","35.1","20.9","4341"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-02","10.3","0","3.06","18.1","33.1","24.8","32.3","17.3","3212"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-03","9.6","0","0.94","36.6","7.7","31.5","38.8","24.3","8172"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-04","11.6","2","11.10","43.0","0.7","44.6","53.5","35.7","10626"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-05","8.3","79","3.60","63.2","0.0","62.5","73.6","51.4","17165"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-06","7.4","224","4.52","65.7","0.0","68.4","78.3","58.5","18076"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-07","7.2","476","3.21","68.0","0.0","72.8","82.8","62.7","18830"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-08","6.0","649","1.90","72.1","0.0","70.1","80.7","59.5","18556"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-09","7.2","728","1.25","70.1","0.0","63.7","74.6","52.9","15723"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-10","8.1","741","5.46","41.5","0.0","53.1","62.6","43.6","8615"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-11","11.0","741","3.76","34.0","2.2","37.8","44.9","30.8","5990"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2013-12","9.8","741","2.70","16.4","34.8","26.2","31.5","21.0","2775"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2014-01","12.3","0","3.41","17.2","41.9","18.2","25.6","10.9","3023"
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","42.8825","-85.52389","244.8","2014-02","10.7","0","2.35","28.8","29.1","17.9","25.3","10.5","5206"
